filename,source,category,type,url,comments
economist_daily_chart_373.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20110416_WOC550.gif,
economist_daily_chart_121.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOC081.png,
economist_daily_chart_466.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/original-size/20101113_WOC617.gif,
economist_daily_chart_124.png,Economist Daily,N,Maps,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOM948_0.png,
economist_daily_chart_292.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20110806_WOC346.gif,
economist_daily_chart_508.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20100911_WOC234.gif,
economist_daily_chart_309.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/full-width/images/2011/07/blogs/graphic-detail/20110716_WOC188.gif,
economist_daily_chart_420.png,Economist Daily,N,Points,http://media.economist.com/sites/default/files/imagecache/original-size/20110129_WOC070.gif,
economist_daily_chart_132.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120414_WOC022.png,
economist_daily_chart_165.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/images/2012/02/blogs/graphic-detail/20120225_WOC617_1.gif,
economist_daily_chart_53.png,Economist Daily,N,Points,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/08/blogs/graphic-detail/20120811_woc972_1.png,
economist_daily_chart_306.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/original-size/20110723_WOC204.gif,
economist_daily_chart_322.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20110702_WOC913.gif,
economist_daily_chart_128.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120421_WOC045.png,
economist_daily_chart_255.png,Economist Daily,N,Diagrams,http://media.economist.com/sites/default/files/imagecache/original-size/map_of_a_tweet.png,
economist_daily_chart_362.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/original-size/20110507_WOC662.gif,
economist_daily_chart_208.png,Economist Daily,N,Points,http://media.economist.com/sites/default/files/imagecache/original-size/20111210_WOC210.gif,
economist_daily_chart_359.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20110514_WOC690.gif,
economist_daily_chart_285.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/original-size/20110820_WOC412.gif,
economist_daily_chart_316.png,Economist Daily,N,Maps,http://media.economist.com/sites/default/files/imagecache/original-size/London.jpg,
economist_daily_chart_427.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20110122_WOC014_0.gif,
economist_daily_chart_183.png,Economist Daily,N,Bars,http://media.economist.com/sites/default/files/imagecache/original-size/20120128_WOC446.gif,
economist_daily_chart_507.png,Economist Daily,N,Lines,http://media.economist.com/sites/default/files/imagecache/original-size/20100911_NAC233.gif,
economist_daily_chart_519.png,Economist Daily,N,Table,http://media.economist.com/images/images-magazine/2010/35/NA/201035NAC173.gif,
