filename,source,category,panel(s),url
economist_daily_chart_10.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/10/blogs/graphic-detail/20121027_woc326.png
economist_daily_chart_100.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120602_woc341.png
economist_daily_chart_101.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120602_woc322.png
economist_daily_chart_102.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120602_woc306.png
economist_daily_chart_103.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120602_woc302.png
economist_daily_chart_104.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120526_woc757.png
economist_daily_chart_105.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120526_woc296.png
economist_daily_chart_106.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120526_woc276.png
economist_daily_chart_107.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120526_woc265.png
economist_daily_chart_108.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120519_woc988.png
economist_daily_chart_109.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120519_woc259.png
economist_daily_chart_11.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/mexban1.png?1350913229
economist_daily_chart_110.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120519_wom983.png
economist_daily_chart_111.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120519_woc228_0.png
economist_daily_chart_112.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120519_woc222_1.png
economist_daily_chart_114.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120512_woc977.png
economist_daily_chart_116.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120505_woc973.png
economist_daily_chart_117.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120505_woc159.png
economist_daily_chart_118.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120505_woc970.png
economist_daily_chart_119.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/05/blogs/graphic-detail/20120505_WOC138.png
economist_daily_chart_12.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/cf_images/images-magazine/2012/10/20/WO/20121020_WOP951_290.jpg
economist_daily_chart_120.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120505_woc150.png
economist_daily_chart_121.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOC081.png
economist_daily_chart_122.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOC116.png
economist_daily_chart_123.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOC086.png
economist_daily_chart_124.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOM948_0.png
economist_daily_chart_125.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120428_WOC079.png
economist_daily_chart_126.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120421_WOC065.png
economist_daily_chart_127.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120421_WOC068.png
economist_daily_chart_128.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120421_WOC045.png
economist_daily_chart_129.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120421_WOC041.png
economist_daily_chart_13.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/10/blogs/graphic-detail/20121020_woc784_0.png
economist_daily_chart_130.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120414_WOC868.png
economist_daily_chart_131.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120414_WOC944.png
economist_daily_chart_132.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120414_WOC022.png
economist_daily_chart_133.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120414_WOC016.png
economist_daily_chart_134.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120414_WOC884.png
economist_daily_chart_135.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120407_WOC870_0.png
economist_daily_chart_136.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120407_WOC865.png
economist_daily_chart_137.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120407_WOC862.png
economist_daily_chart_138.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/04/blogs/graphic-detail/20120407_WOC860.png
economist_daily_chart_139.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120331_WOC931.png
economist_daily_chart_14.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/10/blogs/graphic-detail/20121013_woc999.png
economist_daily_chart_140.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120331_WOM740_0.png
economist_daily_chart_141.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120331_WOC825.png
economist_daily_chart_142.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120324_WOM993.png
economist_daily_chart_143.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120331_WOC823.png
economist_daily_chart_144.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120324_WOM906.png
economist_daily_chart_145.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120324_WOC791.png
economist_daily_chart_146.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/britain.png?1344613560
economist_daily_chart_147.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120317_WOC904.png
economist_daily_chart_148.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120317_WOC780.png
economist_daily_chart_149.png,Economist Daily,N,multipanel,http://media.economist.com/images/images-magazine/2011/03/26/WO/20110326_WOM987_290.jpg
economist_daily_chart_15.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/10/blogs/graphic-detail/20121013_woc267.png
economist_daily_chart_150.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120317_WOC758.png
economist_daily_chart_151.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120317_WOC744_2.jpg
economist_daily_chart_152.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120317_WOC995.png
economist_daily_chart_153.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120310_WOC715_0.png
economist_daily_chart_154.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/290-width/images/2012/03/blogs/graphic-detail/20111210_wop995_290.jpg
economist_daily_chart_155.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120310_WOM733.png
economist_daily_chart_156.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/03/blogs/graphic-detail/20120303_WOC731.gif
economist_daily_chart_157.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/02/blogs/graphic-detail/20120303_WOC649.gif
economist_daily_chart_158.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/02/blogs/graphic-detail/20120303_WOC674.gif
economist_daily_chart_159.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/02/blogs/graphic-detail/20120303_WOC662_0.gif
economist_daily_chart_16.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/10/blogs/graphic-detail/20121013_wom934.png
economist_daily_chart_160.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/02/blogs/graphic-detail/20120225_WOC631.gif
economist_daily_chart_161.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/02/blogs/graphic-detail/20120225_WOC642_0.gif
economist_daily_chart_162.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/original-size/images/2012/02/blogs/graphic-detail/20120225_WOC618.gif
economist_daily_chart_163.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/original-size/images/2012/02/blogs/graphic-detail/20120225_WOC959.gif
economist_daily_chart_164.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/290-width/images/2012/02/blogs/graphic-detail/20120225_woc730_290.jpg
economist_daily_chart_165.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/original-size/images/2012/02/blogs/graphic-detail/20120225_WOC617_1.gif
economist_daily_chart_166.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/original-size/images/2012/02/blogs/graphic-detail/20120218_WOC615_5.gif
economist_daily_chart_167.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/original-size/images/2012/02/blogs/graphic-detail/20120218_WOC597.gif
economist_daily_chart_168.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/original-size/20120218_WOC591.gif
economist_daily_chart_169.png,Economist Daily,N,single,http://media.economist.com/sites/default/files/imagecache/original-size/20120218_WOC577.gif
economist_daily_chart_17.png,Economist Daily,N,multipanel,http://media.economist.com/sites/default/files/imagecache/full-width/images/2012/10/blogs/graphic-detail/20121006_woc999.png
